Equip,Level Requirement,Grade,Stat,Value,Weight,Cube
Weapon,120,Normal,STR,6,3,Red
Weapon,120,Normal,DEX,6,3,Red
Weapon,120,Normal,INT,6,3,Red
Weapon,120,Normal,LUK,6,3,Red
Weapon,120,Normal,Max HP,60,3,Red
Weapon,120,Normal,Max MP,60,3,Red
Weapon,120,Normal,Attack,6,2,Red
Weapon,120,Normal,Magic Attack,6,2,Red
Weapon,120,Rare,STR,12,3,Red
Weapon,120,Rare,DEX,12,3,Red
Weapon,120,Rare,INT,12,3,Red
Weapon,120,Rare,LUK,12,3,Red
Weapon,120,Rare,Max HP,120,3,Red
Weapon,120,Rare,Max MP,120,3,Red
Weapon,120,Rare,Attack,12,2,Red
Weapon,120,Rare,Magic Attack,12,2,Red
Weapon,120,Rare,STR %,3,3,Red
Weapon,120,Rare,DEX %,3,3,Red
Weapon,120,Rare,INT %,3,3,Red
Weapon,120,Rare,LUK %,3,3,Red
Weapon,120,Rare,ATT %,3,1,Red
Weapon,120,Rare,Magic ATT %,3,1,Red
Weapon,120,Rare,Critical Rate %,4,1,Red
Weapon,120,Rare,Damage %,3,1,Red
Weapon,120,Rare,All Stats,5,2,Red
Weapon,120,Rare,20% chance to recover 240 HP on attack,1,1,Red
Weapon,120,Rare,20% chance to recover 120 MP on attack,1,1,Red
Weapon,120,Rare,20% chance to apply Lv 6 Poison on attack,1,1,Red
Weapon,120,Rare,20% chance to apply Lv 2 Stun on attack,1,1,Red
Weapon,120,Rare,20% chance to apply Lv 2 Slow on attack,1,1,Red
Weapon,120,Rare,20% chance to apply Lv 3 Darkness on attack,1,1,Red
Weapon,120,Rare,20% chance to apply Lv 2 Freeze on attack,1,1,Red
Weapon,120,Rare,10% chance to apply Lv 2 Seal on attack,1,1,Red
Weapon,120,Rare,Ignore Enemy DEF %,15,1,Red
Weapon,120,Epic,STR %,6,5,Red
Weapon,120,Epic,DEX %,6,5,Red
Weapon,120,Epic,INT %,6,5,Red
Weapon,120,Epic,LUK %,6,5,Red
Weapon,120,Epic,Max HP %,6,5,Red
Weapon,120,Epic,Max MP %,6,5,Red
Weapon,120,Epic,ATT %,6,2,Red
Weapon,120,Epic,Magic ATT %,6,2,Red
Weapon,120,Epic,Critical Rate %,8,2,Red
Weapon,120,Epic,Damage %,6,2,Red
Weapon,120,Epic,All Stats %,3,2,Red
Weapon,120,Epic,20% chance to recover 360 HP on attack,1,2,Red
Weapon,120,Epic,20% chance to recover 180 MP on attack,1,2,Red
Weapon,120,Epic,Ignore Enemy DEF %,15,2,Red
Weapon,120,Unique,STR %,9,5,Red
Weapon,120,Unique,DEX %,9,5,Red
Weapon,120,Unique,INT %,9,5,Red
Weapon,120,Unique,LUK %,9,5,Red
Weapon,120,Unique,ATT %,9,3,Red
Weapon,120,Unique,Magic ATT %,9,3,Red
Weapon,120,Unique,Critical Rate %,9,4,Red
Weapon,120,Unique,Damage %,9,3,Red
Weapon,120,Unique,All Stats %,6,4,Red
Weapon,120,Unique,Ignore Enemy DEF %,30,3,Red
Weapon,120,Unique,Boss Damage %,20,3,Red
Weapon,120,Unique,Boss Damage %,30,2,Red
Weapon,120,Legendary,STR %,12,4,Red
Weapon,120,Legendary,DEX %,12,4,Red
Weapon,120,Legendary,INT %,12,4,Red
Weapon,120,Legendary,LUK %,12,4,Red
Weapon,120,Legendary,ATT %,12,2,Red
Weapon,120,Legendary,Magic ATT %,12,2,Red
Weapon,120,Legendary,Critical Rate %,12,2,Red
Weapon,120,Legendary,Damage %,12,2,Red
Weapon,120,Legendary,All Stats %,9,3,Red
Weapon,120,Legendary,ATT per 10 character levels,1,2,Red
Weapon,120,Legendary,Magic ATT per 10 character levels,1,2,Red
Weapon,120,Legendary,Ignore Enemy DEF %,35,2,Red
Weapon,120,Legendary,Ignore Enemy DEF %,40,2,Red
Weapon,120,Legendary,Boss Damage %,30,2,Red
Weapon,120,Legendary,Boss Damage %,35,2,Red
Weapon,120,Legendary,Boss Damage %,40,2,Red
Emblem,100,Normal,STR,6,3,Red
Emblem,100,Normal,DEX,6,3,Red
Emblem,100,Normal,INT,6,3,Red
Emblem,100,Normal,LUK,6,3,Red
Emblem,100,Normal,Max HP,50,3,Red
Emblem,100,Normal,Max MP,50,3,Red
Emblem,100,Normal,Attack,6,2,Red
Emblem,100,Normal,Magic Attack,6,2,Red
Emblem,100,Rare,STR,12,3,Red
Emblem,100,Rare,DEX,12,3,Red
Emblem,100,Rare,INT,12,3,Red
Emblem,100,Rare,LUK,12,3,Red
Emblem,100,Rare,Max HP,100,3,Red
Emblem,100,Rare,Max MP,100,3,Red
Emblem,100,Rare,Attack,12,2,Red
Emblem,100,Rare,Magic Attack,12,2,Red
Emblem,100,Rare,STR %,3,3,Red
Emblem,100,Rare,DEX %,3,3,Red
Emblem,100,Rare,INT %,3,3,Red
Emblem,100,Rare,LUK %,3,3,Red
Emblem,100,Rare,ATT %,3,1,Red
Emblem,100,Rare,Magic ATT %,3,1,Red
Emblem,100,Rare,Critical Rate %,4,1,Red
Emblem,100,Rare,Damage %,3,1,Red
Emblem,100,Rare,All Stats,5,2,Red
Emblem,100,Rare,20% chance to recover 200 HP on attack,1,1,Red
Emblem,100,Rare,20% chance to recover 110 MP on attack,1,1,Red
Emblem,100,Rare,20% chance to apply Lv 5 Poison on attack,1,1,Red
Emblem,100,Rare,20% chance to apply Lv 2 Stun on attack,1,1,Red
Emblem,100,Rare,20% chance to apply Lv 2 Slow on attack,1,1,Red
Emblem,100,Rare,20% chance to apply Lv 2 Darkness on attack,1,1,Red
Emblem,100,Rare,20% chance to apply Lv 2 Freeze on attack,1,1,Red
Emblem,100,Rare,10% chance to apply Lv 2 Seal on attack,1,1,Red
Emblem,100,Rare,Ignore Enemy DEF %,15,1,Red
Emblem,100,Epic,STR %,6,5,Red
Emblem,100,Epic,DEX %,6,5,Red
Emblem,100,Epic,INT %,6,5,Red
Emblem,100,Epic,LUK %,6,5,Red
Emblem,100,Epic,Max HP %,6,5,Red
Emblem,100,Epic,Max MP %,6,5,Red
Emblem,100,Epic,ATT %,6,2,Red
Emblem,100,Epic,Magic ATT %,6,2,Red
Emblem,100,Epic,Critical Rate %,8,2,Red
Emblem,100,Epic,Damage %,6,2,Red
Emblem,100,Epic,All Stats %,3,2,Red
Emblem,100,Epic,20% chance to recover 300 HP on attack,1,2,Red
Emblem,100,Epic,20% chance to recover 165 MP on attack,1,2,Red
